,l,summ
0,30,0.0
1,30,4.934802200544679
2,30,0.8760900741279114
3,30,2.2113528429825005
4,30,1.9760222126236073
5,30,2.0018291040136216
6,30,1.9998995297042177
7,30,2.0000041678091427
8,30,1.9999998647395556
9,30,2.00000000352908
10,30,1.9999999999243494
11,30,2.0000000000013567
12,30,1.9999999999999798
13,30,2.000000000000001
14,30,2.0000000000000004
15,30,2.0000000000000004
16,30,2.0000000000000004
17,30,2.0000000000000004
18,30,2.0000000000000004
19,30,2.0000000000000004
20,30,2.0000000000000004
21,30,2.0000000000000004
22,30,2.0000000000000004
23,30,2.0000000000000004
24,30,2.0000000000000004
25,30,2.0000000000000004
26,30,2.0000000000000004
27,30,2.0000000000000004
28,30,2.0000000000000004
29,30,2.0000000000000004
